Designator,Mid X,Mid Y,Rotation,Layer
C1,105.192103,-32.639,90,T
C2,112.558103,-28.828999,180,T
C3,99.06,-46.5836,45,T
C4,98.3488,-45.8724,45,T
C5,93.9292,-43.97,90,T
C6,92.9,-43.98,90,T
C7,87.1,-48.6,180,T
C8,88.2,-52.7,180,T
C9,95.1,-58.2,-90,T
C10,101.9,-52.7,0,T
C11,99.7,-48.9,0,T
C12,96.3,-57.9,-90,T
C13,93.1672,-45.974,135,T
C14,88.392,-42.672,180,T
C15,93.726,-64.135,180,T
C16,96.647,-61.468,90,T
D1,81.2,-46.4,-45,T
D2,36.007819,-43.136943,-40,T
D3,50.600968,-55.382047,-40,T
D4,65.194111,-67.627151,-40,T
D5,51.897952,-129.189034,-50,T
D6,133.952048,-129.189034,50,T
D7,83.4,-102.8546,0,T
D8,102.45,-102.8546,0,T
D9,120.655889,-67.627151,40,T
D10,135.249034,-55.382047,40,T
D11,149.842182,-43.136944,40,T
J1,92.93,-27.835,180,T
R1,94.9,-35.8,-90,T
R2,90.4,-35.7,-90,T
R3,84,-43.5,-45,T
R4,93.98,-58.293,90,T
R5,95.1992,-44.6024,-90,T
R6,96.7232,-44.6024,-90,T
R7,83.3,-48.4,135,T
R8,58.676,-37.719,180,T
R9,71.4,-51,180,T
R10,83.8,-61.7,180,T
R11,69.99,-125.5,-90,T
R12,127.2,-110.6,-45,T
R13,83.5,-82.1,-90,T
R14,112.6,-89.1,-90,T
R15,112.3,-54.5,45,T
R16,131.2,-38.9,45,T
R17,143.7,-27.7,0,T
SW1,81.5,-37.2,90,T
SW12,74.93,-30.48,0,T
U1,93.996,-51.6975,0,T
U2,110.272102,-33.02,0,T
U3,103.372102,-35.119999,-90,T
U4,87.8826,-44.565001,0,T
Y1,93.726,-61.595,0,T
